name,ticker
Advanced Semiconductor Engineering,2311.tw
Advantech,2395.TW
Asia Cement,1102.TW
Asustek Computer Inc,2357.TW
AU Optronics,2409.TW
Catcher Technology,2474.tw
Cathay Financial Holding,2882.TW
Chang Hwa Commercial Bank,2801.TW
Cheng Shin Rubber Industry,2105.tw
China Development Financial Holdings,2883.tw
China Life Insurance,2628.HK
China Steel,2002.TW
Chunghwa Telecom,2412.TW
Compal Electronics,2324.tw
CTBC Financial Holding,2891.TW
Delta Electronics,2308.TW
E.Sun Financial Holding,2884.TW
Far Eastern New Century Corporation,1402.TW
Far EasTone Telecommunications,4904.TW
First Financial Holding,2892.TW
Formosa Chemicals & Fibre,1326.tw
Formosa Petrochemical,1301.TW
Formosa Plastics Corp,1301.tw
Foxconn Technology,2354.tw
Fubon Financial Holdings,2881.TW
Hon Hai Precision Industry,2317.tw
Hotai Motor,2207.TW
Hua Nan Financial Holdings,2880.TW
Innolux,3481.tw
Largan Precision,3008.TW
Lite-On Technology,2301.TW
MediaTek,2454.tw
Mega Financial Holding,2886.tw
Nan Ya Plastics,1303.TW
Nanya Technology,2408.tw
Pegatron,4938.tw
Pou Chen,9904.TW
President Chain Store,2912.tw
Quanta Computer,2382.tw
Siliconware Precision Industries,2325.TW
SinoPac Financial Holdings Co. Ltd.,2890.TW
Taishin Financial Holdings,2887.tw
Taiwan Cement,1101.tw
Taiwan Cooperative Financial Holding,5880.TW
Taiwan High Speed Rail,2633.TW
Taiwan Mobile,3045.tw
Taiwan Semiconductor Manufacturing,2330.tw
Uni-president Enterprises,1216.TW
United Microelectronics,2303.tw
Yuanta Financial Holding,2885.TW